系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
长春轨道交通,轨道交通8号线,900000080340,北环城路,一二三中学,220100020890002,900000080340015,0.98,
长春轨道交通,轨道交通8号线,900000080340,一二三中学,小南,900000080340015,900000080340016,1.07,
长春轨道交通,轨道交通8号线,900000080340,小南,小城子街,900000080340016,900000080340017,0.661,
长春轨道交通,轨道交通8号线,900000080340,小城子街,北湖大桥,900000080340017,900000080340018,2.068,
长春轨道交通,轨道交通8号线,900000080340,北湖大桥,北湖公园,900000080340018,900000080340019,0.94,
长春轨道交通,轨道交通8号线,900000080340,北湖公园,和安街,900000080340019,900000080340020,0.772,
长春轨道交通,轨道交通8号线,900000080340,和安街,光机路,900000080340020,900000080340021,1.191,
长春轨道交通,轨道交通8号线,900000080340,光机路,大学城路,900000080340021,900000080340022,1.013,
长春轨道交通,轨道交通8号线,900000080340,大学城路,地理所,900000080340022,900000080340023,1.11,
长春轨道交通,轨道交通8号线,900000080340,地理所,奥林匹克公园,900000080340023,900000080340024,0.984,
长春轨道交通,轨道交通8号线,900000080340,奥林匹克公园,广通路,900000080340024,900000080340025,1.156,
