系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
成都地铁,S3(资阳)线,福田,0.0,0.0,104.387506,30.27816,900000068815013,,
成都地铁,S3(资阳)线,芦葭,5.79,5.79,104.441771,30.25548,900000156039002,,
成都地铁,S3(资阳)线,资阳临空,16.546,22.336,104.584953,30.172822,900000156039003,,
成都地铁,S3(资阳)线,幸福大道,6.259,28.595,104.621836,30.126442,900000156039004,,
成都地铁,S3(资阳)线,苌弘广场,3.369,31.964,104.650507,30.109039,900000156039005,,
成都地铁,S3(资阳)线,宝台,2.339,34.303,104.674083,30.114209,900000156039006,,
成都地铁,S3(资阳)线,资阳北站,1.556,35.859,104.68145,30.12667,900000156039007,,
成都地铁,地铁10号线,武侯祠,0.0,0.0,104.051223,30.645124,900000059714017,,
成都地铁,地铁10号线,高升桥,1.004,1.004,104.042545,30.640044,900000039590003,,
成都地铁,地铁10号线,红牌楼,1.35,2.354,104.029878,30.634704,900000039590002,,
成都地铁,地铁10号线,太平园,1.306,3.66,104.02158,30.625381,900000039590001,,
成都地铁,地铁10号线,簇锦,2.03,5.69,104.008245,30.611182,900000059714002,,
成都地铁,地铁10号线,华兴,1.576,7.266,104.001114,30.598405,900000059714003,,
成都地铁,地铁10号线,金花,3.067,10.333,103.970064,30.591577,900000059714004,,
成都地铁,地铁10号线,双流机场1航站楼,1.781,12.114,103.959257,30.578543,900000059714005,,
成都地铁,地铁10号线,双流机场2航站楼,1.023,13.137,103.955607,30.569892,900000059714006,,
成都地铁,地铁10号线,双流西站,4.716,17.853,103.917258,30.543286,900000039590018,,
成都地铁,地铁10号线,应天寺,1.469,19.322,103.90468,30.535723,900000059714008,,
成都地铁,地铁10号线,黄水,2.258,21.58,103.891339,30.51898,900000059714009,,
成都地铁,地铁10号线,花源,3.871,25.451,103.880912,30.485344,900000059714010,,
成都地铁,地铁10号线,新津站,2.595,28.046,103.873243,30.462959,900000059714011,,
成都地铁,地铁10号线,花桥,2.819,30.865,103.857265,30.441677,900000059714012,,
成都地铁,地铁10号线,五津,4.663,35.528,103.813341,30.423662,900000059714013,,
成都地铁,地铁10号线,儒林路,1.277,36.805,103.803093,30.416325,900000059714014,,
成都地铁,地铁10号线,刘家碾,1.131,37.936,103.79137,30.41522,900000059714015,,
成都地铁,地铁10号线,新平(宝墩),1.216,39.152,103.781522,30.408331,900000059714016,,
成都地铁,地铁13号线,瓦窑滩,0.0,0.0,103.948319,30.661987,900000150600001,,
成都地铁,地铁13号线,万家湾,1.367,1.367,103.962551,30.663145,900000150600002,,
