系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
洛阳轨道交通,地铁1号线,900000076062,红山,0.0,0.0,112.324063,34.701961,900000076062020,,
洛阳轨道交通,地铁1号线,900000076062,谷水,2.476,2.476,112.334779,34.681508,900000076062001,,
洛阳轨道交通,地铁1号线,900000076062,秦岭路,1.922,4.398,112.355177,34.677344,900000076062002,,
洛阳轨道交通,地铁1号线,900000076062,武汉路,1.429,5.827,112.367473,34.669415,900000076062003,,
洛阳轨道交通,地铁1号线,900000076062,长安路,1.136,6.963,112.376619,34.662497,900000076062004,,
洛阳轨道交通,地铁1号线,900000076062,上海市场,0.854,7.817,112.385428,34.659963,900000076062005,,
洛阳轨道交通,地铁1号线,900000076062,牡丹广场,1.198,9.015,112.397848,34.656545,900000076062006,,
洛阳轨道交通,地铁1号线,900000076062,七里河,1.268,10.283,112.411156,34.659743,900000076062007,,
洛阳轨道交通,地铁1号线,900000076062,王城公园,1.602,11.885,112.426714,34.666354,900000076062008,,
洛阳轨道交通,地铁1号线,900000076062,解放路,0.837,12.722,112.435022,34.669503,900000076062009,,
洛阳轨道交通,地铁1号线,900000076062,周王城广场,0.889,13.611,112.443869,34.672823,900000076062010,,
洛阳轨道交通,地铁1号线,900000076062,应天门,1.426,15.037,112.45804,34.678179,900000076062011,,
洛阳轨道交通,地铁1号线,900000076062,丽景门,1.043,16.08,112.468444,34.682028,900000076062012,,
洛阳轨道交通,地铁1号线,900000076062,洛邑古城,1.287,17.367,112.482249,34.684292,900000076062013,,
洛阳轨道交通,地铁1号线,900000076062,夹马营,0.939,18.306,112.492414,34.685522,900000076062014,,
洛阳轨道交通,地铁1号线,900000076062,启明南路·河南省洛阳正骨医院,1.158,19.464,112.504737,34.687909,900000076062015,,
洛阳轨道交通,地铁1号线,900000076062,塔湾,1.199,20.663,112.51761,34.689986,900000076062016,,
洛阳轨道交通,地铁1号线,900000076062,史家湾,1.382,22.045,112.532439,34.692382,900000076062017,,
洛阳轨道交通,地铁1号线,900000076062,杨湾,1.906,23.951,112.552856,34.695853,900000076062018,,
