系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
太原轨道交通,轨道交通1号线,900000151669,河龙湾,0.0,0.0,112.444295,37.847761,900000151669001,,
太原轨道交通,轨道交通1号线,900000151669,西铭路,1.23,1.23,112.456360,37.853376,900000151669002,,
太原轨道交通,轨道交通1号线,900000151669,西客站,1.496,2.726,112.472793,37.856929,900000151669003,,
太原轨道交通,轨道交通1号线,900000151669,金阳路,0.954,3.68,112.483657,37.857146,900000151669004,,
太原轨道交通,轨道交通1号线,900000151669,闫家沟(小井峪路),1.479,5.159,112.500502,37.857483,900000151669005,,
太原轨道交通,轨道交通1号线,900000151669,下元,0.92,6.079,112.510977,37.857681,900000151669006,,
太原轨道交通,轨道交通1号线,900000151669,太原理工大学,1.362,7.441,112.526484,37.857997,900000151669007,,
太原轨道交通,轨道交通1号线,900000151669,桃园路,1.643,9.084,112.545173,37.858787,900000151669008,,
太原轨道交通,轨道交通1号线,900000151669,大南门,1.256,10.34,112.559463,37.859312,900000056411008,,
太原轨道交通,轨道交通1号线,900000151669,柳南,0.652,10.992,112.566830,37.860039,900000151669010,,
太原轨道交通,轨道交通1号线,900000151669,五一广场,0.614,11.606,112.573825,37.860195,900000151669011,,
太原轨道交通,轨道交通1号线,900000151669,太原站西广场,0.798,12.404,112.582913,37.860349,900000151669012,,
太原轨道交通,轨道交通1号线,900000151669,太原站东广场,0.65,13.054,112.590320,37.860376,900000151669013,,
太原轨道交通,轨道交通1号线,900000151669,郝家沟,0.71,13.764,112.598403,37.860593,900000151669014,,
太原轨道交通,轨道交通1号线,900000151669,朝阳街,0.804,14.568,112.604948,37.855530,900000151669015,,
太原轨道交通,轨道交通1号线,900000151669,双塔,1.755,16.323,112.604927,37.839749,900000151669016,,
太原轨道交通,轨道交通1号线,900000151669,南十方街,1.058,17.381,112.606108,37.830284,900000151669017,,
太原轨道交通,轨道交通1号线,900000151669,长风东街,1.382,18.763,112.610039,37.818254,900000151669018,,
太原轨道交通,轨道交通1号线,900000151669,学府东街,0.936,19.699,112.609932,37.809839,900000151669019,,
太原轨道交通,轨道交通1号线,900000151669,许坦东街,0.956,20.655,112.609916,37.801243,900000151669020,,
太原轨道交通,轨道交通1号线,900000151669,太原南站,0.974,21.629,112.611983,37.792635,900000151669021,,
太原轨道交通,轨道交通1号线,900000151669,北营,1.039,22.668,112.620557,37.786199,900000151669022,,
太原轨道交通,轨道交通1号线,900000151669,黄陵,1.547,24.215,112.611444,37.774300,900000151669023,,
太原轨道交通,轨道交通1号线,900000151669,武宿1号2号航站楼,2.813,27.028,112.634027,37.756381,900000151669024,,
