系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
广州地铁,地铁1号线,黄沙,1.39,5.146,113.239856,23.110524,440100023049013,,
广州地铁,地铁1号线,长寿路,0.91,6.056,113.242271,23.118402,440100023049012,,
广州地铁,地铁1号线,陈家祠,0.919,6.975,113.246439,23.125727,440100023047028,,
广州地铁,地铁1号线,西门口,0.962,7.937,113.25583,23.125219,440100023049010,,
广州地铁,地铁1号线,公园前,0.868,8.805,113.264315,23.125446,440100023049009,,
广州地铁,地铁1号线,农讲所,1.162,9.967,113.275602,23.126623,440100023049008,,
广州地铁,地铁1号线,烈士陵园,1.029,10.996,113.285663,23.126704,440100023049007,,
广州地铁,地铁1号线,东山口,1.038,12.034,113.295373,23.12398,440100023049006,,
广州地铁,地铁1号线,杨箕,1.456,13.49,113.308877,23.128137,440100023037012,,
广州地铁,地铁1号线,体育西路,1.334,14.824,113.321503,23.131138,440100023031015,,
广州地铁,地铁1号线,体育中心,0.822,15.646,113.328376,23.13497,440100023049003,,
广州地铁,地铁1号线,广州东站,1.834,17.48,113.324493,23.151077,440100023031013,,
广州地铁,地铁21号线,天河公园,0.0,0.0,113.364025,23.124903,900000046003032,,
广州地铁,地铁21号线,棠东,2.674,2.674,113.389329,23.130979,900000046003031,,
广州地铁,地铁21号线,黄村,1.837,4.511,113.407274,23.131814,440100023035002,,
广州地铁,地铁21号线,大观南路,1.419,5.93,113.406947,23.144575,900000046003029,,
广州地铁,地铁21号线,天河智慧城,2.115,8.045,113.403184,23.163275,900000046003028,,
广州地铁,地铁21号线,神舟路,2.886,10.931,113.431334,23.165215,900000046003027,,
广州地铁,地铁21号线,科学城,1.832,12.763,113.44925,23.165651,900000046003026,,
广州地铁,地铁21号线,苏元,2.053,14.816,113.468482,23.17097,440100023053026,,
广州地铁,地铁21号线,水西,2.117,16.933,113.47878,23.187489,900000043742019,,
广州地铁,地铁21号线,长平,2.775,19.708,113.489704,23.210341,900000046003023,,
广州地铁,地铁21号线,金坑,5.754,25.462,113.526727,23.249328,900000046003022,,
广州地铁,地铁21号线,镇龙西,5.774,31.236,113.573793,23.278088,900000046003008,,
广州地铁,地铁21号线,镇龙,2.088,33.324,113.593,23.284514,900000046003007,,
广州地铁,地铁21号线,中新,2.058,35.382,113.613131,23.285303,900000046003006,,
广州地铁,地铁21号线,坑贝,3.097,38.479,113.642606,23.278769,900000046003005,,
广州地铁,地铁21号线,凤岗,2.88,41.359,113.670634,23.275961,900000046003004,,
广州地铁,地铁21号线,朱村,3.17,44.529,113.701415,23.272316,900000046003021,,
广州地铁,地铁21号线,山田,4.429,48.958,113.744543,23.276428,900000046003003,,
广州地铁,地铁21号线,钟岗,4.863,53.821,113.792047,23.279317,900000046003002,,
广州地铁,地铁21号线,增城广场,2.295,56.116,113.814472,23.278024,900000046003001,,
广州地铁,地铁22号线,芳村,0.0,0.0,113.23587,23.09857,440100023049014,,
