系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
长沙地铁,地铁6号线,谢家桥,象鼻窝,900000075109001,900000075109002,1.706,
长沙地铁,地铁6号线,象鼻窝,中塘,900000075109002,900000075109003,1.366,
长沙地铁,地铁6号线,中塘,一师范西校区,900000075109003,900000075109004,1.378,
长沙地铁,地铁6号线,一师范西校区,长庆,900000075109004,900000075109005,0.917,
长沙地铁,地铁6号线,长庆,和馨园,900000075109005,900000075109006,1.506,
长沙地铁,地铁6号线,和馨园,长丰,900000075109006,900000075109007,1.215,
长沙地铁,地铁6号线,长丰,麓谷体育公园,900000075109007,900000075109008,1.0,
长沙地铁,地铁6号线,麓谷体育公园,麓谷公园,900000075109008,900000075109009,1.427,
长沙地铁,地铁6号线,麓谷公园,涧塘,900000075109009,900000075109010,1.404,
长沙地铁,地铁6号线,涧塘,湖南工商大学,900000075109010,900000075109011,1.141,
长沙地铁,地铁6号线,湖南工商大学,白鸽咀,900000075109011,900000075109012,1.163,
长沙地铁,地铁6号线,白鸽咀,湘雅三医院,900000075109012,900000075109013,0.893,
长沙地铁,地铁6号线,湘雅三医院,六沟垅,900000075109013,900000066167008,1.148,
长沙地铁,地铁6号线,六沟垅,文昌阁,900000066167008,430100020925006,2.534,
长沙地铁,地铁6号线,文昌阁,湘雅医院,430100020925006,900000075109016,0.963,
长沙地铁,地铁6号线,湘雅医院,烈士公园南(湖南省博物馆),900000075109016,900000075109017,1.036,
长沙地铁,地铁6号线,烈士公园南(湖南省博物馆),迎宾路口,900000075109017,430100020927010,1.097,
长沙地铁,地铁6号线,迎宾路口,窑岭湘雅二医院,430100020927010,900000075109019,0.859,
长沙地铁,地铁6号线,窑岭湘雅二医院,朝阳村,900000075109019,900000065929012,1.358,
长沙地铁,地铁6号线,朝阳村,芙蓉区政府,900000065929012,900000066175010,1.925,
长沙地铁,地铁6号线,芙蓉区政府,人民东路,900000066175010,430100020927015,0.826,
长沙地铁,地铁6号线,人民东路,花桥,430100020927015,900000075109023,0.98,
长沙地铁,地铁6号线,花桥,隆平水稻博物馆,900000075109023,900000075109034,1.191,
长沙地铁,地铁6号线,隆平水稻博物馆,农科院农大,900000075109034,900000075109024,1.989,
长沙地铁,地铁6号线,农科院农大,东湖,900000075109024,900000075109025,1.658,
长沙地铁,地铁6号线,东湖,韶光,900000075109025,900000075109026,1.135,
长沙地铁,地铁6号线,韶光,龙华,900000075109026,900000075109027,2.183,
长沙地铁,地铁6号线,龙华,檀木桥,900000075109027,900000075109028,2.099,
长沙地铁,地铁6号线,檀木桥,曹家坪,900000075109028,900000075109029,2.088,
长沙地铁,地铁6号线,曹家坪,龙峰,900000075109029,900000075109030,1.235,
长沙地铁,地铁6号线,龙峰,大路村,900000075109030,900000075109031,2.125,
长沙地铁,地铁6号线,大路村,木马塅,900000075109031,900000075109032,0.937,
长沙地铁,地铁6号线,木马塅,黄花机场T1T2,900000075109032,900000075109033,0.81,
