系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
郑州地铁,地铁3号线,900000075776,省体育中心,0.0,0.0,113.626003,34.831921,900000075776001,,
郑州地铁,地铁3号线,900000075776,王砦,1.364,1.364,113.626011,34.819658,900000075776002,,
郑州地铁,地铁3号线,900000075776,兴隆铺,1.393,2.757,113.627676,34.807205,900000075776003,,
郑州地铁,地铁3号线,900000075776,同乐,1.506,4.263,113.635653,34.795346,900000075776004,,
郑州地铁,地铁3号线,900000075776,南阳新村,1.224,5.487,113.642243,34.785762,900000075776005,,
郑州地铁,地铁3号线,900000075776,海滩寺,1.492,6.979,113.650702,34.774286,900000058317003,,
郑州地铁,地铁3号线,900000075776,大石桥·市妇幼保健院,1.129,8.108,113.655734,34.765011,900000075776007,,
郑州地铁,地铁3号线,900000075776,人民公园,0.809,8.917,113.659983,34.758629,900000075776008,,
郑州地铁,地铁3号线,900000075776,二七广场,0.865,9.782,113.665854,34.752527,410100022629013,,
郑州地铁,地铁3号线,900000075776,西大街,1.006,10.788,113.676537,34.750320,900000075776010,,
郑州地铁,地铁3号线,900000075776,东大街·市第一人民医院,0.612,11.4,113.682990,34.748829,410100021064010,,
郑州地铁,地铁3号线,900000075776,郑州文庙,0.797,12.197,113.691404,34.746924,900000075776012,,
郑州地铁,地铁3号线,900000075776,博览中心,1.128,13.325,113.703745,34.746902,900000075776013,,
郑州地铁,地铁3号线,900000075776,凤凰台,0.929,14.254,113.713918,34.746925,900000075776014,,
郑州地铁,地铁3号线,900000075776,东十里铺,1.108,15.362,113.726050,34.747001,900000075776015,,
郑州地铁,地铁3号线,900000075776,通泰路,0.677,16.039,113.733370,34.747954,900000075776016,,
郑州地铁,地铁3号线,900000075776,西周,1.232,17.271,113.746855,34.747945,900000075776017,,
郑州地铁,地铁3号线,900000075776,东周,1.097,18.368,113.758724,34.746440,900000075776018,,
郑州地铁,地铁3号线,900000075776,省骨科医院,1.385,19.753,113.773861,34.745838,900000058317015,,
郑州地铁,地铁3号线,900000075776,圃田西,1.82,21.573,113.793199,34.741918,900000075776020,,
郑州地铁,地铁3号线,900000075776,营岗,2.469,24.042,113.802273,34.721004,900000075776021,,
郑州地铁,地铁3号线,900000075776,潮河,2.9,26.942,113.795113,34.695592,900000075776022,,
郑州地铁,地铁3号线,900000075776,滨河新城,0.876,27.818,113.795142,34.687714,900000075776023,,
郑州地铁,地铁3号线,900000075776,司赵·市七院滨河院区,1.201,29.019,113.795130,34.676910,900000075776024,,
郑州地铁,地铁3号线,900000075776,滨河新城南,0.998,30.017,113.795106,34.667939,900000075776025,,
