系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
贵阳地铁,轨道交通1号线,900000068716,小孟工业园,清水江路,900000068716039,900000068716038,1.037,
贵阳地铁,轨道交通1号线,900000068716,清水江路,长江路,900000068716038,900000068716037,1.219,
贵阳地铁,轨道交通1号线,900000068716,长江路,珠江路,900000068716037,900000068716036,0.923,
贵阳地铁,轨道交通1号线,900000068716,珠江路,望城坡,900000068716036,900000068716035,1.153,
贵阳地铁,轨道交通1号线,900000068716,望城坡,沙冲路,900000068716035,900000068716034,1.737,
贵阳地铁,轨道交通1号线,900000068716,沙冲路,贵阳火车站,900000068716034,900000068716033,0.879,
贵阳地铁,轨道交通1号线,900000068716,贵阳火车站,河滨公园,900000068716033,900000068716032,1.364,
贵阳地铁,轨道交通1号线,900000068716,河滨公园,中山西路,900000068716032,900000068716031,0.895,
贵阳地铁,轨道交通1号线,900000068716,中山西路,喷水池,900000068716031,900000066417020,0.727,
贵阳地铁,轨道交通1号线,900000068716,喷水池,北京路,900000066417020,900000068716029,1.12,
贵阳地铁,轨道交通1号线,900000068716,北京路,八鸽岩,900000068716029,900000068716028,0.558,
贵阳地铁,轨道交通1号线,900000068716,八鸽岩,南垭路,900000068716028,900000068716027,2.101,
贵阳地铁,轨道交通1号线,900000068716,南垭路,雅关,900000068716027,900000068716026,2.322,
贵阳地铁,轨道交通1号线,900000068716,雅关,贵阳北站,900000068716026,900000068716011,3.284,
贵阳地铁,轨道交通1号线,900000068716,贵阳北站,白鹭湖,900000068716011,900000068716010,1.352,
贵阳地铁,轨道交通1号线,900000068716,白鹭湖,新寨,900000068716010,900000068716009,1.282,
贵阳地铁,轨道交通1号线,900000068716,新寨,阳关,900000068716009,900000068716008,1.119,
贵阳地铁,轨道交通1号线,900000068716,阳关,国际生态会议中心,900000068716008,900000068716007,1.021,
贵阳地铁,轨道交通1号线,900000068716,国际生态会议中心,观山湖公园,900000068716007,900000068716006,1.689,
贵阳地铁,轨道交通1号线,900000068716,观山湖公园,林城西路,900000068716006,900000066417007,1.401,
贵阳地铁,轨道交通1号线,900000068716,林城西路,阅山湖公园,900000066417007,900000068716004,0.922,
贵阳地铁,轨道交通1号线,900000068716,阅山湖公园,老湾塘,900000068716004,900000068716003,1.812,
贵阳地铁,轨道交通1号线,900000068716,老湾塘,下麦西,900000068716003,900000068716002,1.265,
贵阳地铁,轨道交通1号线,900000068716,下麦西,窦官,900000068716002,900000068716040,1.076,
