系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
昆明地铁,地铁1号线,900000066456,环城南路(北部汽车站),昆明火车站,530100021492019,530100021492018,1.189,
昆明地铁,地铁1号线,900000066456,昆明火车站,福德,530100021492018,530100021492017,1.005,
昆明地铁,地铁1号线,900000066456,福德,日新路,530100021492017,530100021492016,0.778,
昆明地铁,地铁1号线,900000066456,日新路,巫家坝,530100021492016,530100021492015,0.831,
昆明地铁,地铁1号线,900000066456,巫家坝,昌宏西路,530100021492015,530100021492014,1.497,
昆明地铁,地铁1号线,900000066456,昌宏西路,晓东村,530100021492014,530100021492013,1.108,
昆明地铁,地铁1号线,900000066456,晓东村,珥季路,530100021492013,530100021492012,1.5,
昆明地铁,地铁1号线,900000066456,珥季路,星耀路,530100021492012,530100021492011,1.745,
昆明地铁,地铁1号线,900000066456,星耀路,新亚洲体育城,530100021492011,530100021492010,1.108,
昆明地铁,地铁1号线,900000066456,新亚洲体育城,南部汽车站,530100021492010,530100021492009,2.049,
昆明地铁,地铁1号线,900000066456,南部汽车站,斗南,530100021492009,530100021492008,2.889,
昆明地铁,地铁1号线,900000066456,斗南,春融街,530100021492008,530100021492007,4.311,
昆明地铁,地铁1号线,900000066456,春融街,市级行政中心清风,530100021492007,900000066456002,1.142,
昆明地铁,地铁1号线,900000066456,市级行政中心清风,宜和路,900000066456002,900000066456003,0.887,
昆明地铁,地铁1号线,900000066456,宜和路,白龙潭,900000066456003,900000066456004,1.307,
昆明地铁,地铁1号线,900000066456,白龙潭,昆明南火车站,900000066456004,900000066456005,0.974,
