系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
上海地铁,地铁9号线,曹路,0.0,0.0,121.683153,31.271297,310100024546036,,
上海地铁,地铁9号线,民雷路,1.466,1.466,121.668125,31.268335,310100024546035,,
上海地铁,地铁9号线,顾唐路,1.136,2.602,121.656465,31.266074,310100024546034,,
上海地铁,地铁9号线,金海路,1.726,4.328,121.638629,31.263141,310100024546033,,
上海地铁,地铁9号线,金吉路,0.949,5.277,121.628741,31.264304,310100024546032,,
上海地铁,地铁9号线,金桥,1.698,6.975,121.611336,31.260850,310100024546031,,
上海地铁,地铁9号线,台儿庄路,1.593,8.568,121.597458,31.252825,310100024546030,,
上海地铁,地铁9号线,蓝天路,2.268,10.836,121.577995,31.241028,310100024546029,,
上海地铁,地铁9号线,芳甸路,2.122,12.958,121.558431,31.231845,310100024546028,,
上海地铁,地铁9号线,杨高中路,1.046,14.004,121.548664,31.227510,310100024546027,,
上海地铁,地铁9号线,世纪大道,2.044,16.048,121.527213,31.228682,310100024540013,,
上海地铁,地铁9号线,商城路,1.055,17.103,121.516275,31.230258,310100024546025,,
上海地铁,地铁9号线,小南门,2.26,19.363,121.498398,31.216866,310100024546024,,
上海地铁,地铁9号线,陆家浜路,1.297,20.66,121.486115,31.211789,310100024546023,,
上海地铁,地铁9号线,马当路,0.879,21.539,121.477256,31.209520,310100024524014,,
上海地铁,地铁9号线,打浦桥,0.89,22.429,121.468681,31.206309,310100024546021,,
上海地铁,地铁9号线,嘉善路,0.852,23.281,121.460704,31.202820,310100024546020,,
上海地铁,地铁9号线,肇嘉浜路,1.066,24.347,121.450212,31.199436,310100024542014,,
上海地铁,地铁9号线,徐家汇,1.366,25.713,121.436603,31.195514,310100024518023,,
上海地铁,地铁9号线,宜山路,1.326,27.039,121.427194,31.186717,310100024546017,,
上海地铁,地铁9号线,桂林路,1.585,28.624,121.418064,31.174791,310100024546016,,
上海地铁,地铁9号线,漕河泾开发区,1.985,30.609,121.397769,31.170644,310100024546015,,
上海地铁,地铁9号线,合川路,1.318,31.927,121.384772,31.166542,310100024546014,,
上海地铁,地铁9号线,星中路,1.777,33.704,121.368903,31.158109,310100024546013,,
上海地铁,地铁9号线,七宝,1.899,35.603,121.349221,31.155287,310100024546012,,
上海地铁,地铁9号线,中春路,1.521,37.124,121.334596,31.149766,310100024546011,,
上海地铁,地铁9号线,九亭,2.005,39.129,121.319423,31.137252,310100024546010,,
上海地铁,地铁9号线,泗泾,6.015,45.144,121.260247,31.118272,310100024546009,,
上海地铁,地铁9号线,佘山,3.309,48.453,121.229686,31.104097,310100024546008,,
上海地铁,地铁9号线,洞泾,2.181,50.634,121.230473,31.084492,310100024546007,,
上海地铁,地铁9号线,松江大学城,3.398,54.032,121.232577,31.053984,310100024546006,,
上海地铁,地铁9号线,松江新城,2.64,56.672,121.230739,31.030295,310100024546005,,
上海地铁,地铁9号线,松江体育中心,1.589,58.261,121.230546,31.016006,310100024546004,,
上海地铁,地铁9号线,醉白池,1.659,59.92,121.229361,31.001125,310100024546003,,
上海地铁,地铁9号线,上海松江站,1.819,61.739,121.230884,30.984818,310100024546002,,
