系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
上海地铁,地铁10号线,310100027703,基隆路,港城路,310100027703034,310100024540029,1.477,
上海地铁,地铁10号线,310100027703,港城路,高桥,310100024540029,310100027703032,1.146,
上海地铁,地铁10号线,310100027703,高桥,高桥西,310100027703032,310100027703031,1.306,
上海地铁,地铁10号线,310100027703,高桥西,双江路,310100027703031,310100027703030,0.965,
上海地铁,地铁10号线,310100027703,双江路,国帆路,310100027703030,310100027703029,2.943,
上海地铁,地铁10号线,310100027703,国帆路,新江湾城,310100027703029,310100027703028,1.363,
上海地铁,地铁10号线,310100027703,新江湾城,殷高东路,310100027703028,310100027703027,0.748,
上海地铁,地铁10号线,310100027703,殷高东路,三门路,310100027703027,310100027703026,0.962,
上海地铁,地铁10号线,310100027703,三门路,江湾体育场,310100027703026,310100027703025,1.099,
上海地铁,地铁10号线,310100027703,江湾体育场,五角场,310100027703025,310100027703024,0.706,
上海地铁,地铁10号线,310100027703,五角场,国权路,310100027703024,310100027703023,1.069,
上海地铁,地铁10号线,310100027703,国权路,同济大学,310100027703023,310100027703022,0.872,
上海地铁,地铁10号线,310100027703,同济大学,四平路,310100027703022,310100025709010,0.925,
上海地铁,地铁10号线,310100027703,四平路,邮电新村,310100025709010,310100027703020,0.994,
上海地铁,地铁10号线,310100027703,邮电新村,海伦路,310100027703020,310100027703019,1.144,
上海地铁,地铁10号线,310100027703,海伦路,四川北路,310100027703019,310100027703018,0.914,
上海地铁,地铁10号线,310100027703,四川北路,天潼路,310100027703018,310100025711016,0.931,
上海地铁,地铁10号线,310100027703,天潼路,南京东路,310100025711016,310100025693011,0.672,
上海地铁,地铁10号线,310100027703,南京东路,豫园,310100025693011,310100027599018,1.154,
上海地铁,地铁10号线,310100027703,豫园,老西门,310100027599018,310100025709018,1.058,
上海地铁,地铁10号线,310100027703,老西门,一大会址·新天地,310100025709018,310100024524015,0.87,
上海地铁,地铁10号线,310100027703,一大会址·新天地,陕西南路,310100024524015,310100025685019,1.569,
上海地铁,地铁10号线,310100027703,陕西南路,上海图书馆,310100025685019,310100027703011,1.584,
上海地铁,地铁10号线,310100027703,上海图书馆,交通大学,310100027703011,310100024518022,1.077,
上海地铁,地铁10号线,310100027703,交通大学,虹桥路,310100024518022,310100027703009,1.469,
上海地铁,地铁10号线,310100027703,虹桥路,宋园路,310100027703009,310100027703008,0.838,
上海地铁,地铁10号线,310100027703,宋园路,伊犁路,310100027703008,310100027703007,0.82,
上海地铁,地铁10号线,310100027703,伊犁路,水城路,310100027703007,310100027703006,1.109,
上海地铁,地铁10号线,310100027703,水城路,龙溪路,310100027703006,310100027703005,1.293,
