系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
苏州轨道交通,轨道交通11号线,900000104525,唯亭(苏州新区火车站),草鞋山,900000104525001,900000104525002,1.658,
苏州轨道交通,轨道交通11号线,900000104525,草鞋山,阳澄湖东,900000104525002,900000104525003,4.173,
苏州轨道交通,轨道交通11号线,900000104525,阳澄湖东,正仪,900000104525003,900000104525004,1.644,
苏州轨道交通,轨道交通11号线,900000104525,正仪,莲湖公园,900000104525004,900000104525005,1.983,
苏州轨道交通,轨道交通11号线,900000104525,莲湖公园,祖冲之公园,900000104525005,900000104525006,1.244,
苏州轨道交通,轨道交通11号线,900000104525,祖冲之公园,昆山文化艺术中心,900000104525006,900000104525007,0.95,
苏州轨道交通,轨道交通11号线,900000104525,昆山文化艺术中心,共青,900000104525007,900000104525008,1.316,
苏州轨道交通,轨道交通11号线,900000104525,共青,江浦,900000104525008,900000104525009,0.937,
苏州轨道交通,轨道交通11号线,900000104525,江浦,白马泾,900000104525009,900000104525010,1.375,
苏州轨道交通,轨道交通11号线,900000104525,白马泾,玉山广场,900000104525010,900000104525011,1.38,
苏州轨道交通,轨道交通11号线,900000104525,玉山广场,绣衣,900000104525011,900000104525012,1.36,
苏州轨道交通,轨道交通11号线,900000104525,绣衣,昆山城市广场,900000104525012,900000104525013,1.04,
苏州轨道交通,轨道交通11号线,900000104525,昆山城市广场,金浦大桥东,900000104525013,900000104525014,1.234,
苏州轨道交通,轨道交通11号线,900000104525,金浦大桥东,顺帆北路,900000104525014,900000104525015,1.1,
苏州轨道交通,轨道交通11号线,900000104525,顺帆北路,鱼池泾,900000104525015,900000104525016,0.957,
苏州轨道交通,轨道交通11号线,900000104525,鱼池泾,白河潭,900000104525016,900000104525017,1.04,
苏州轨道交通,轨道交通11号线,900000104525,白河潭,兵希,900000104525017,900000104525018,1.082,
苏州轨道交通,轨道交通11号线,900000104525,兵希,夏驾河公园,900000104525018,900000104525019,0.977,
苏州轨道交通,轨道交通11号线,900000104525,夏驾河公园,盛庄,900000104525019,900000104525020,1.574,
苏州轨道交通,轨道交通11号线,900000104525,盛庄,章基路南,900000104525020,900000104525021,1.49,
苏州轨道交通,轨道交通11号线,900000104525,章基路南,夏桥,900000104525021,900000104525022,1.824,
苏州轨道交通,轨道交通11号线,900000104525,夏桥,神童泾,900000104525022,900000104525023,1.847,
苏州轨道交通,轨道交通11号线,900000104525,神童泾,菉葭,900000104525023,900000104525024,1.384,
苏州轨道交通,轨道交通11号线,900000104525,菉葭,花桥博览中心,900000104525024,900000104525025,2.096,
苏州轨道交通,轨道交通11号线,900000104525,花桥博览中心,集善,900000104525025,900000104525026,1.503,
苏州轨道交通,轨道交通11号线,900000104525,集善,花溪公园,900000104525026,900000104525027,1.215,
苏州轨道交通,轨道交通11号线,900000104525,花溪公园,花桥,900000104525027,320500022611002,1.226,
苏州轨道交通,轨道交通1号线,320500022828,木渎,金枫路,320500022828002,320500022828003,1.101,
苏州轨道交通,轨道交通1号线,320500022828,金枫路,汾湖路,320500022828003,320500022828004,1.178,
苏州轨道交通,轨道交通1号线,320500022828,汾湖路,玉山路,320500022828004,320500022828005,0.939,
苏州轨道交通,轨道交通1号线,320500022828,玉山路,狮子山,320500022828005,320500022828006,1.159,
苏州轨道交通,轨道交通1号线,320500022828,狮子山,塔园路,320500022828006,320500022828007,1.017,
苏州轨道交通,轨道交通1号线,320500022828,塔园路,滨河路,320500022828007,320500022828008,0.9,
苏州轨道交通,轨道交通1号线,320500022828,滨河路,西环路,320500022828008,320500022828009,1.053,
苏州轨道交通,轨道交通1号线,320500022828,西环路,桐泾北路,320500022828009,320500022828010,1.344,
苏州轨道交通,轨道交通1号线,320500022828,桐泾北路,广济南路,320500022828010,320500022816011,0.953,
苏州轨道交通,轨道交通1号线,320500022828,广济南路,养育巷,320500022816011,320500022828012,1.236,
苏州轨道交通,轨道交通1号线,320500022828,养育巷,乐桥,320500022828012,320500022810011,0.806,
苏州轨道交通,轨道交通1号线,320500022828,乐桥,临顿路,320500022810011,320500022828014,0.862,
苏州轨道交通,轨道交通1号线,320500022828,临顿路,相门,320500022828014,320500022828015,0.815,
