系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
昆明地铁,地铁3号线,900000040209,西山公园,车家壁,900000040209018,900000040209019,1.164,
昆明地铁,地铁3号线,900000040209,车家壁,普坪村,900000040209019,900000040209020,1.34,
昆明地铁,地铁3号线,900000040209,普坪村,石咀,900000040209020,900000040209001,1.645,
昆明地铁,地铁3号线,900000040209,石咀,大渔路,900000040209001,900000040209002,1.236,
昆明地铁,地铁3号线,900000040209,大渔路,西部汽车站,900000040209002,900000040209003,0.899,
昆明地铁,地铁3号线,900000040209,西部汽车站,眠山,900000040209003,900000040209004,1.7,
昆明地铁,地铁3号线,900000040209,眠山,昌源中路,900000040209004,900000040209005,0.749,
昆明地铁,地铁3号线,900000040209,昌源中路,西苑,900000040209005,900000040209006,0.975,
昆明地铁,地铁3号线,900000040209,西苑,梁家河,900000040209006,900000040209007,1.156,
昆明地铁,地铁3号线,900000040209,梁家河,市体育馆,900000040209007,900000040209008,0.954,
昆明地铁,地铁3号线,900000040209,市体育馆,潘家湾,900000040209008,900000040209009,0.817,
昆明地铁,地铁3号线,900000040209,潘家湾,五一路,900000040209009,900000040209010,1.324,
昆明地铁,地铁3号线,900000040209,五一路,东风广场,900000040209010,530100021490013,1.346,
昆明地铁,地铁3号线,900000040209,东风广场,拓东体育馆,530100021490013,900000040209012,1.021,
昆明地铁,地铁3号线,900000040209,拓东体育馆,大树营,900000040209012,900000040209013,1.135,
昆明地铁,地铁3号线,900000040209,大树营,金马寺,900000040209013,900000040209014,1.038,
昆明地铁,地铁3号线,900000040209,金马寺,太平村,900000040209014,900000040209015,0.967,
昆明地铁,地铁3号线,900000040209,太平村,虹桥,900000040209015,900000040209016,1.245,
昆明地铁,地铁3号线,900000040209,虹桥,东部汽车站,900000040209016,530100020528002,1.526,
