系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
武汉地铁,轨道交通16号线,900000090803,国博中心南,老关村,420100024335006,420100024335005,1.756,
武汉地铁,轨道交通16号线,900000090803,老关村,南太子湖,420100024335005,900000090803010,1.881,
武汉地铁,轨道交通16号线,900000090803,南太子湖,沌口,900000090803010,900000090803009,2.172,
武汉地铁,轨道交通16号线,900000090803,沌口,小军山,900000090803009,900000090803008,7.79,
武汉地铁,轨道交通16号线,900000090803,小军山,枫林,900000090803008,900000090803007,2.141,
武汉地铁,轨道交通16号线,900000090803,枫林,大军山,900000090803007,900000090803006,1.924,
武汉地铁,轨道交通16号线,900000090803,大军山,桂子湖,900000090803006,900000090803005,4.202,
武汉地铁,轨道交通16号线,900000090803,桂子湖,马影河,900000090803005,900000090803004,3.038,
武汉地铁,轨道交通16号线,900000090803,马影河,协子河,900000090803004,900000090803003,1.353,
武汉地铁,轨道交通16号线,900000090803,协子河,湾湖,900000090803003,900000090803002,1.564,
武汉地铁,轨道交通16号线,900000090803,湾湖,周家河,900000090803002,900000090803001,2.402,
武汉地铁,轨道交通16号线,900000090803,周家河,纱帽,900000090803001,900000090803014,3.163,
武汉地铁,轨道交通16号线,900000090803,纱帽,通航机场,900000090803014,900000090803013,1.567,
