系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
常州地铁,地铁2号线,青枫公园,海棠路,900000068186015,900000068186014,0.96,
常州地铁,地铁2号线,海棠路,五星,900000068186014,900000068186013,1.094,
常州地铁,地铁2号线,五星,勤业,900000068186013,900000068186012,1.216,
常州地铁,地铁2号线,勤业,怀德,900000068186012,900000068186011,1.474,
常州地铁,地铁2号线,怀德,南大街,900000068186011,900000068186010,1.012,
常州地铁,地铁2号线,南大街,文化宫,900000068186010,900000045578016,1.17,
常州地铁,地铁2号线,文化宫,红梅公园,900000045578016,900000068186008,1.006,
常州地铁,地铁2号线,红梅公园,五角场,900000068186008,900000068186007,1.195,
常州地铁,地铁2号线,五角场,三角场,900000068186007,900000068186006,1.113,
常州地铁,地铁2号线,三角场,紫云,900000068186006,900000068186005,1.535,
常州地铁,地铁2号线,紫云,青洋路,900000068186005,900000068186004,1.478,
常州地铁,地铁2号线,青洋路,丁堰,900000068186004,900000068186003,1.3,
常州地铁,地铁2号线,丁堰,潞城,900000068186003,900000068186002,2.084,
常州地铁,地铁2号线,潞城,五一路,900000068186002,900000068186001,1.315,
