系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
厦门轨道交通,地铁1号线,镇海路,中山公园,900000055907001,900000055907002,0.915,
厦门轨道交通,地铁1号线,中山公园,将军祠,900000055907002,900000055907003,1.158,
厦门轨道交通,地铁1号线,将军祠,文灶,900000055907003,900000055907004,0.853,
厦门轨道交通,地铁1号线,文灶,湖滨东路,900000055907004,900000055907005,1.014,
厦门轨道交通,地铁1号线,湖滨东路,莲坂,900000055907005,900000055907006,0.797,
厦门轨道交通,地铁1号线,莲坂,莲花路口,900000055907006,900000055907007,0.946,
厦门轨道交通,地铁1号线,莲花路口,吕厝,900000055907007,900000055907008,0.952,
厦门轨道交通,地铁1号线,吕厝,乌石浦,900000055907008,900000055907009,0.927,
厦门轨道交通,地铁1号线,乌石浦,塘边,900000055907009,900000055907010,0.911,
厦门轨道交通,地铁1号线,塘边,火炬园,900000055907010,900000055907011,0.747,
厦门轨道交通,地铁1号线,火炬园,殿前,900000055907011,900000055907012,1.455,
厦门轨道交通,地铁1号线,殿前,高崎,900000055907012,900000055907013,1.407,
厦门轨道交通,地铁1号线,高崎,集美学村,900000055907013,900000055907014,3.84,
厦门轨道交通,地铁1号线,集美学村,园博苑,900000055907014,900000055907015,2.631,
厦门轨道交通,地铁1号线,园博苑,杏林村,900000055907015,900000055907016,0.977,
厦门轨道交通,地铁1号线,杏林村,杏锦路,900000055907016,900000055907017,0.621,
厦门轨道交通,地铁1号线,杏锦路,官任,900000055907017,900000055907018,1.39,
厦门轨道交通,地铁1号线,官任,诚毅广场,900000055907018,900000055907019,1.21,
厦门轨道交通,地铁1号线,诚毅广场,集美软件园,900000055907019,900000055907020,1.238,
厦门轨道交通,地铁1号线,集美软件园,集美大道,900000055907020,900000055907021,1.084,
厦门轨道交通,地铁1号线,集美大道,天水路,900000055907021,900000055907022,1.251,
厦门轨道交通,地铁1号线,天水路,厦门北站,900000055907022,900000055907023,1.399,
厦门轨道交通,地铁1号线,厦门北站,岩内,900000055907023,900000055907024,0.838,
