系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
青岛地铁,地铁8号线北段,900000154759,胶东,大涧,900000154759003,900000154759004,7.255,
青岛地铁,地铁8号线北段,900000154759,大涧,红岛火车站,900000154759004,900000154759005,2.866,
青岛地铁,地铁8号线北段,900000154759,红岛火车站,健康中心,900000154759005,900000154759006,2.148,
青岛地铁,地铁8号线北段,900000154759,健康中心,健身中心(红岛会展),900000154759006,900000154759007,1.439,
青岛地铁,地铁8号线北段,900000154759,健身中心(红岛会展),观涛,900000154759007,900000154759008,3.812,
青岛地铁,地铁8号线北段,900000154759,观涛,红岛科技馆(方特),900000154759008,900000154759009,2.721,
青岛地铁,地铁8号线北段,900000154759,红岛科技馆(方特),大洋,900000154759009,900000154759010,1.662,
青岛地铁,地铁8号线北段,900000154759,大洋,青岛北站,900000154759010,900000030289001,8.36,
青岛地铁,蓝谷快线,900000071655,苗岭路,会展中心,900000030291008,900000071655002,0.881,
青岛地铁,蓝谷快线,900000071655,会展中心,青岛二中,900000071655002,900000071655003,1.011,
青岛地铁,蓝谷快线,900000071655,青岛二中,青岛科大,900000071655003,900000071655004,1.577,
青岛地铁,蓝谷快线,900000071655,青岛科大,张村,900000071655004,900000071655005,1.893,
青岛地铁,蓝谷快线,900000071655,张村,枯桃,900000071655005,900000071655006,0.78,
青岛地铁,蓝谷快线,900000071655,枯桃,海洋大学,900000071655006,900000071655007,2.01,
青岛地铁,蓝谷快线,900000071655,海洋大学,世博园,900000071655007,900000071655008,2.716,
青岛地铁,蓝谷快线,900000071655,世博园,北宅,900000071655008,900000071655009,3.775,
青岛地铁,蓝谷快线,900000071655,北宅,北九水,900000071655009,900000071655010,3.504,
青岛地铁,蓝谷快线,900000071655,北九水,庙石,900000071655010,900000071655011,6.642,
青岛地铁,蓝谷快线,900000071655,庙石,浦里,900000071655011,900000071655012,3.124,
青岛地铁,蓝谷快线,900000071655,浦里,鳌山卫,900000071655012,900000071655013,5.58,
青岛地铁,蓝谷快线,900000071655,鳌山卫,山东大学,900000071655013,900000071655014,2.732,
青岛地铁,蓝谷快线,900000071655,山东大学,蓝色硅谷,900000071655014,900000071655015,1.805,
青岛地铁,蓝谷快线,900000071655,蓝色硅谷,水泊,900000071655015,900000071655016,2.223,
青岛地铁,蓝谷快线,900000071655,水泊,博览中心,900000071655016,900000071655017,2.83,
青岛地铁,蓝谷快线,900000071655,博览中心,温泉东,900000071655017,900000071655018,2.576,
青岛地铁,蓝谷快线,900000071655,温泉东,皋虞,900000071655018,900000071655019,2.321,
青岛地铁,蓝谷快线,900000071655,皋虞,臧村,900000071655019,900000071655020,1.99,
青岛地铁,蓝谷快线,900000071655,臧村,钱谷山,900000071655020,900000071655021,2.778,
青岛地铁,西海岸快线,900000071736,嘉陵江西路,香江路,900000071736024,900000071736025,1.189,
青岛地铁,西海岸快线,900000071736,香江路,井冈山路,900000071736025,900000071736003,1.446,
青岛地铁,西海岸快线,900000071736,井冈山路,积米崖,900000071736003,900000071736004,3.23,
青岛地铁,西海岸快线,900000071736,积米崖,灵山卫,900000071736004,900000071736005,2.449,
青岛地铁,西海岸快线,900000071736,灵山卫,学院路,900000071736005,900000071736006,1.874,
青岛地铁,西海岸快线,900000071736,学院路,朝阳山,900000071736006,900000071736007,1.989,
青岛地铁,西海岸快线,900000071736,朝阳山,辛屯,900000071736007,900000071736008,1.638,
青岛地铁,西海岸快线,900000071736,辛屯,两河,900000071736008,900000071736009,1.938,
青岛地铁,西海岸快线,900000071736,两河,隐珠,900000071736009,900000071736010,2.883,
青岛地铁,西海岸快线,900000071736,隐珠,凤凰山路,900000071736010,900000071736011,1.121,
青岛地铁,西海岸快线,900000071736,凤凰山路,双珠路,900000071736011,900000071736012,2.147,
