系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
福州地铁,地铁6号线,900000076581,下吴,1.394,26.86,119.582616,25.912233,900000076581014,,
福州地铁,地铁6号线,900000076581,壶井,1.296,28.156,119.593335,25.905685,900000076581015,,
福州地铁,地铁6号线,900000076581,万寿,1.127,29.283,119.60263,25.899952,900000076581016,,
福州地铁,滨海快线,900000139163,福州火车站,0.0,0.0,119.318133,26.112978,350100020612032,,
福州地铁,滨海快线,900000139163,东门,2.84,2.84,119.315019,26.08759,900000090236014,,
福州地铁,滨海快线,900000139163,闽都,1.409,4.249,119.319328,26.075525,900000139163003,,
福州地铁,滨海快线,900000139163,南公园,1.272,5.521,119.319896,26.064099,900000139163004,,
福州地铁,滨海快线,900000139163,三叉街(滨海快线),3.206,8.727,119.322679,26.035376,900000139163005,,
福州地铁,滨海快线,900000139163,帝封江,5.487,14.214,119.33544,25.987382,900000088653016,,
福州地铁,滨海快线,900000139163,祥谦,8.14,22.354,119.386657,25.930472,900000139163008,,
福州地铁,滨海快线,900000139163,首占,9.875,32.229,119.485139,25.924026,900000139163009,,
福州地铁,滨海快线,900000139163,滨海西,8.567,40.796,119.568892,25.907859,900000139163011,,
福州地铁,滨海快线,900000139163,大数据,3.411,44.207,119.597792,25.891571,900000139163012,,
福州地铁,滨海快线,900000139163,滨海中央商务区,1.444,45.651,119.609675,25.884204,900000139163013,,
福州地铁,滨海快线,900000139163,机场,8.167,53.818,119.67529,25.92792,900000139163014,,
福州地铁,滨海快线,900000139163,文岭,5.499,59.317,119.695267,25.973998,900000139163015,,
