系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
太原轨道交通,轨道交通1号线,河龙湾,西铭路,900000151669001,900000151669002,1.23,
太原轨道交通,轨道交通1号线,西铭路,西客站,900000151669002,900000151669003,1.496,
太原轨道交通,轨道交通1号线,西客站,金阳路,900000151669003,900000151669004,0.954,
太原轨道交通,轨道交通1号线,金阳路,闫家沟(小井峪路),900000151669004,900000151669005,1.479,
太原轨道交通,轨道交通1号线,闫家沟(小井峪路),下元,900000151669005,900000151669006,0.92,
太原轨道交通,轨道交通1号线,下元,太原理工大学,900000151669006,900000151669007,1.362,
太原轨道交通,轨道交通1号线,太原理工大学,桃园路,900000151669007,900000151669008,1.643,
太原轨道交通,轨道交通1号线,桃园路,大南门,900000151669008,900000056411008,1.256,
太原轨道交通,轨道交通1号线,大南门,柳南,900000056411008,900000151669010,0.652,
太原轨道交通,轨道交通1号线,柳南,五一广场,900000151669010,900000151669011,0.614,
太原轨道交通,轨道交通1号线,五一广场,太原站西广场,900000151669011,900000151669012,0.798,
太原轨道交通,轨道交通1号线,太原站西广场,太原站东广场,900000151669012,900000151669013,0.65,
太原轨道交通,轨道交通1号线,太原站东广场,郝家沟,900000151669013,900000151669014,0.71,
太原轨道交通,轨道交通1号线,郝家沟,朝阳街,900000151669014,900000151669015,0.804,
太原轨道交通,轨道交通1号线,朝阳街,双塔,900000151669015,900000151669016,1.755,
太原轨道交通,轨道交通1号线,双塔,南十方街,900000151669016,900000151669017,1.058,
太原轨道交通,轨道交通1号线,南十方街,长风东街,900000151669017,900000151669018,1.382,
太原轨道交通,轨道交通1号线,长风东街,学府东街,900000151669018,900000151669019,0.936,
太原轨道交通,轨道交通1号线,学府东街,许坦东街,900000151669019,900000151669020,0.956,
太原轨道交通,轨道交通1号线,许坦东街,太原南站,900000151669020,900000151669021,0.974,
太原轨道交通,轨道交通1号线,太原南站,北营,900000151669021,900000151669022,1.039,
太原轨道交通,轨道交通1号线,北营,黄陵,900000151669022,900000151669023,1.547,
太原轨道交通,轨道交通1号线,黄陵,武宿1号2号航站楼,900000151669023,900000151669024,2.813,
