系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
金华轨道交通,金义东线金义段,900000167204,金华站,0.0,0.0,119.636326,29.107367,900000167204001,,
金华轨道交通,金义东线金义段,900000167204,双溪西路,2.27,2.27,119.643743,29.088008,900000167204002,,
金华轨道交通,金义东线金义段,900000167204,八一南街,1.284,3.554,119.654743,29.081611,900000167204003,,
金华轨道交通,金义东线金义段,900000167204,万达广场,2.176,5.73,119.675717,29.088454,900000167204004,,
金华轨道交通,金义东线金义段,900000167204,大堰河街,2.818,8.548,119.702810,29.097490,900000167204005,,
金华轨道交通,金义东线金义段,900000167204,轨道大厦,1.792,10.34,119.721249,29.097531,900000167204006,,
金华轨道交通,金义东线金义段,900000167204,金华南站,2.417,12.757,119.737051,29.114318,900000167204007,,
金华轨道交通,金义东线金义段,900000167204,塘雅,8.932,21.689,119.806284,29.167198,900000167204008,,
金华轨道交通,金义东线金义段,900000167204,综保区,4.876,26.565,119.853299,29.182605,900000167204009,,
金华轨道交通,金义东线金义段,900000167204,新区,2.278,28.843,119.873647,29.192811,900000167204010,,
金华轨道交通,金义东线金义段,900000167204,东华街,2.082,30.925,119.894032,29.198621,900000167204011,,
金华轨道交通,金义东线金义段,900000167204,义亭,8.742,39.667,119.972801,29.236757,900000167204012,,
金华轨道交通,金义东线金义段,900000167204,官塘,5.797,45.464,120.019292,29.269505,900000167204013,,
金华轨道交通,金义东线金义段,900000167204,稠江,2.12,47.584,120.037038,29.280636,900000167204014,,
金华轨道交通,金义东线金义段,900000167204,绣湖,3.749,51.333,120.062990,29.305630,900000167204015,,
金华轨道交通,金义东线金义段,900000167204,秦塘,3.608,54.941,120.088253,29.329459,900000167204016,,
