系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
广州地铁,地铁9号线,高增,清塘,440100023031003,900000043839011,3.834,
广州地铁,地铁9号线,清塘,清布,900000043839011,900000043839009,1.379,
广州地铁,地铁9号线,清布,莲塘,900000043839009,900000043839008,1.359,
广州地铁,地铁9号线,莲塘,马鞍山公园,900000043839008,900000043839007,1.394,
广州地铁,地铁9号线,马鞍山公园,花都广场,900000043839007,900000043839006,1.563,
广州地铁,地铁9号线,花都广场,花果山公园,900000043839006,900000043839005,1.636,
广州地铁,地铁9号线,花果山公园,花城路,900000043839005,900000043839004,1.014,
广州地铁,地铁9号线,花城路,广州北站,900000043839004,900000043839003,1.195,
广州地铁,地铁9号线,广州北站,花都汽车城,900000043839003,900000043839002,2.194,
广州地铁,地铁9号线,花都汽车城,飞鹅岭,900000043839002,900000043839001,2.58,
