系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
徐州地铁,地铁6号线,900000154271,赵武,2.253,3.379,117.305597,34.239009,900000154271014,,
徐州地铁,地铁6号线,900000154271,博览中心,1.423,4.802,117.296555,34.22862,900000154271013,,
徐州地铁,地铁6号线,900000154271,奥体中心,0.789,5.591,117.288161,34.227145,900000154271012,,
徐州地铁,地铁6号线,900000154271,一中南,1.05,6.641,117.280531,34.220119,900000154271011,,
徐州地铁,地铁6号线,900000154271,市行政中心,1.404,8.045,117.280376,34.207494,900000065741017,,
徐州地铁,地铁6号线,900000154271,丽水路,1.971,10.016,117.280454,34.18977,900000154271009,,
徐州地铁,地铁6号线,900000154271,迎宾大道,1.284,11.3,117.277544,34.178476,900000154271008,,
徐州地铁,地铁6号线,900000154271,市中医院,1.471,12.771,117.261573,34.177773,900000154271007,,
徐州地铁,地铁6号线,900000154271,塘坊,1.147,13.918,117.249531,34.180436,900000154271006,,
徐州地铁,地铁6号线,900000154271,检测园,0.956,14.874,117.239488,34.182645,900000154271005,,
徐州地铁,地铁6号线,900000154271,驿城,2.417,17.291,117.213262,34.18404,900000154271004,,
徐州地铁,地铁6号线,900000154271,高家营,0.822,18.113,117.204394,34.184977,900000154271003,,
徐州地铁,地铁6号线,900000154271,玉泉河,1.544,19.657,117.187644,34.185922,900000065739005,,
徐州地铁,地铁6号线,900000154271,铜山中医院,1.042,20.699,117.1764,34.184815,900000154271001,,
