系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
佛山地铁,广佛线,440600021959,新城东,东平,440600021959021,440600021959022,1.329,
佛山地铁,广佛线,440600021959,东平,世纪莲,440600021959022,440600021959023,1.461,
佛山地铁,广佛线,440600021959,世纪莲,澜石,440600021959023,440600021959024,2.242,
佛山地铁,广佛线,440600021959,澜石,魁奇路,440600021959024,440600021959002,1.12,
佛山地铁,广佛线,440600021959,魁奇路,季华园,440600021959002,440600021959003,1.461,
佛山地铁,广佛线,440600021959,季华园,同济路,440600021959003,440600021959004,1.347,
佛山地铁,广佛线,440600021959,同济路,祖庙,440600021959004,440600021959005,0.947,
佛山地铁,广佛线,440600021959,祖庙,普君北路,440600021959005,440600021959006,1.04,
佛山地铁,广佛线,440600021959,普君北路,朝安,440600021959006,440600021959007,1.156,
佛山地铁,广佛线,440600021959,朝安,桂城,440600021959007,440600021959008,0.922,
佛山地铁,广佛线,440600021959,桂城,南桂路,440600021959008,440600021959009,1.33,
佛山地铁,广佛线,440600021959,南桂路,礌岗,440600021959009,440600021959016,0.948,
佛山地铁,广佛线,440600021959,礌岗,千灯湖,440600021959016,440600021959011,1.358,
佛山地铁,广佛线,440600021959,千灯湖,金融高新区,440600021959011,440600021959012,1.266,
佛山地铁,广佛线,440600021959,金融高新区,龙溪,440600021959012,440600021959013,3.462,
佛山地铁,广佛线,440600021959,龙溪,菊树,440600021959013,440600021959014,2.094,
佛山地铁,广佛线,440600021959,菊树,西塱,440600021959014,440600021959015,1.956,
佛山地铁,广佛线,440600021959,西塱,鹤洞,440600021959015,440600021959017,1.147,
佛山地铁,广佛线,440600021959,鹤洞,沙涌,440600021959017,440600021959018,1.355,
佛山地铁,广佛线,440600021959,沙涌,沙园,440600021959018,440600021959019,1.541,
佛山地铁,广佛线,440600021959,沙园,燕岗,440600021959019,440600021959020,1.9,
佛山地铁,广佛线,440600021959,燕岗,石溪,440600021959020,440600021959025,1.638,
佛山地铁,广佛线,440600021959,石溪,南洲,440600021959025,440600021959026,1.219,
佛山地铁,广佛线,440600021959,南洲,沥滘,440600021959026,440600021959027,2.479,
