系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
石家庄地铁,轨道交通1号线,900000044039,西王,时光街,900000044039001,900000044039002,1.284,
石家庄地铁,轨道交通1号线,900000044039,时光街,长城桥,900000044039002,900000044039003,1.218,
石家庄地铁,轨道交通1号线,900000044039,长城桥,和平医院,900000044039003,900000044039004,1.325,
石家庄地铁,轨道交通1号线,900000044039,和平医院,烈士陵园,900000044039004,900000044039005,1.145,
石家庄地铁,轨道交通1号线,900000044039,烈士陵园,新百广场,900000044039005,900000044039006,1.073,
石家庄地铁,轨道交通1号线,900000044039,新百广场,解放广场,900000044039006,900000044039007,0.84,
石家庄地铁,轨道交通1号线,900000044039,解放广场,平安大街,900000044039007,900000044039008,1.267,
石家庄地铁,轨道交通1号线,900000044039,平安大街,北国商城,900000044039008,900000044039009,0.959,
石家庄地铁,轨道交通1号线,900000044039,北国商城,博物院,900000044039009,900000044039010,0.895,
石家庄地铁,轨道交通1号线,900000044039,博物院,体育场,900000044039010,900000044039011,0.889,
石家庄地铁,轨道交通1号线,900000044039,体育场,北宋,900000044039011,900000044039012,1.142,
石家庄地铁,轨道交通1号线,900000044039,北宋,谈固,900000044039012,900000044039013,1.424,
石家庄地铁,轨道交通1号线,900000044039,谈固,朝晖桥,900000044039013,900000044039014,1.276,
石家庄地铁,轨道交通1号线,900000044039,朝晖桥,白佛,900000044039014,900000044039015,0.8,
石家庄地铁,轨道交通1号线,900000044039,白佛,留村,900000044039015,900000044039016,2.131,
石家庄地铁,轨道交通1号线,900000044039,留村,火炬广场,900000044039016,900000044039017,1.269,
石家庄地铁,轨道交通1号线,900000044039,火炬广场,石家庄东站,900000044039017,900000044039018,1.35,
石家庄地铁,轨道交通1号线,900000044039,石家庄东站,南村,900000044039018,900000044039019,1.188,
石家庄地铁,轨道交通1号线,900000044039,南村,洨河大道,900000044039019,900000044039020,1.029,
石家庄地铁,轨道交通1号线,900000044039,洨河大道,西庄,900000044039020,900000044039021,1.368,
石家庄地铁,轨道交通1号线,900000044039,西庄,东庄,900000044039021,900000044039022,1.419,
石家庄地铁,轨道交通1号线,900000044039,东庄,会展中心,900000044039022,900000044039023,3.47,
石家庄地铁,轨道交通1号线,900000044039,会展中心,商务中心,900000044039023,900000044039024,1.122,
石家庄地铁,轨道交通1号线,900000044039,商务中心,园博园,900000044039024,900000044039025,1.305,
石家庄地铁,轨道交通1号线,900000044039,园博园,福泽,900000044039025,900000044039026,1.082,
