系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
福州地铁,滨海快线,福州火车站,东门,350100020612032,900000090236014,2.84,
福州地铁,滨海快线,东门,闽都,900000090236014,900000139163003,1.409,
福州地铁,滨海快线,闽都,南公园,900000139163003,900000139163004,1.272,
福州地铁,滨海快线,南公园,三叉街(滨海快线),900000139163004,900000139163005,3.206,
福州地铁,滨海快线,三叉街(滨海快线),帝封江,900000139163005,900000088653016,5.487,
福州地铁,滨海快线,帝封江,祥谦,900000088653016,900000139163008,8.14,
福州地铁,滨海快线,祥谦,首占,900000139163008,900000139163009,9.875,
福州地铁,滨海快线,首占,滨海西,900000139163009,900000139163011,8.567,
福州地铁,滨海快线,滨海西,大数据,900000139163011,900000139163012,3.411,
福州地铁,滨海快线,大数据,滨海中央商务区,900000139163012,900000139163013,1.444,
福州地铁,滨海快线,滨海中央商务区,机场,900000139163013,900000139163014,8.167,
福州地铁,滨海快线,机场,文岭,900000139163014,900000139163015,5.499,
