系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
佛山地铁,地铁7号线,美的大道,1.695,49.287,113.207767,22.944766,900000115922009,,
佛山地铁,广佛线,新城东,0.0,0.0,113.140008,22.958653,440600021959021,,
佛山地铁,广佛线,东平,1.329,1.329,113.12919,22.965266,440600021959022,,
佛山地铁,广佛线,世纪莲,1.461,2.79,113.114917,22.965147,440600021959023,,
佛山地铁,广佛线,澜石,2.242,5.032,113.107107,22.983985,440600021959024,,
佛山地铁,广佛线,魁奇路,1.12,6.152,113.108612,22.993964,440600021959002,,
佛山地铁,广佛线,季华园,1.461,7.613,113.108547,23.007104,440600021959003,,
佛山地铁,广佛线,同济路,1.347,8.96,113.108503,23.019222,440600021959004,,
佛山地铁,广佛线,祖庙,0.947,9.907,113.112099,23.027073,440600021959005,,
佛山地铁,广佛线,普君北路,1.04,10.947,113.12224,23.027678,440600021959006,,
佛山地铁,广佛线,朝安,1.156,12.103,113.133537,23.027676,440600021959007,,
佛山地铁,广佛线,桂城,0.922,13.025,113.141432,23.031674,440600021959008,,
佛山地铁,广佛线,南桂路,1.33,14.355,113.154139,23.034167,440600021959009,,
佛山地铁,广佛线,礌岗,0.948,15.303,113.155426,23.042607,440600021959016,,
佛山地铁,广佛线,千灯湖,1.358,16.661,113.155356,23.054818,440600021959011,,
佛山地铁,广佛线,金融高新区,1.266,17.927,113.158548,23.065814,440600021959012,,
佛山地铁,广佛线,龙溪,3.462,21.389,113.192391,23.066029,440600021959013,,
佛山地铁,广佛线,菊树,2.094,23.483,113.212863,23.065868,440600021959014,,
佛山地铁,广佛线,西塱,1.956,25.439,113.231978,23.065437,440600021959015,,
佛山地铁,广佛线,鹤洞,1.147,26.586,113.240153,23.072495,440600021959017,,
佛山地铁,广佛线,沙涌,1.355,27.941,113.246794,23.083043,440600021959018,,
佛山地铁,广佛线,沙园,1.541,29.482,113.260584,23.088625,440600021959019,,
佛山地铁,广佛线,燕岗,1.9,31.382,113.271988,23.075142,440600021959020,,
佛山地铁,广佛线,石溪,1.638,33.02,113.285951,23.067937,440600021959025,,
佛山地铁,广佛线,南洲,1.219,34.239,113.297367,23.064799,440600021959026,,
佛山地铁,广佛线,沥滘,2.479,36.718,113.319077,23.054898,440600021959027,,
