系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
重庆轨道交通,轨道交通4号线,鹿栖,2.42,25.478,106.71628,29.600406,900000070644023,,
重庆轨道交通,轨道交通4号线,铁山坪,4.766,30.244,106.669502,29.613942,900000070644024,,
重庆轨道交通,轨道交通4号线,唐家沱,1.358,31.602,106.65914,29.605695,900000070644001,,
重庆轨道交通,轨道交通4号线,太平冲,1.703,33.305,106.641522,29.605873,900000070644002,,
重庆轨道交通,轨道交通4号线,港城,1.812,35.117,106.631766,29.619783,900000070644003,,
重庆轨道交通,轨道交通4号线,黑石子,1.171,36.288,106.621014,29.624639,900000070644004,,
重庆轨道交通,轨道交通4号线,寸滩,1.47,37.758,106.606153,29.621815,900000070644005,,
重庆轨道交通,轨道交通4号线,保税港,2.253,40.011,106.583495,29.617052,900000070621018,,
重庆轨道交通,轨道交通4号线,头塘,1.39,41.401,106.573325,29.60821,900000070621017,,
重庆轨道交通,轨道交通4号线,重庆北站北广场,2.203,43.604,106.551195,29.612922,900000070644008,,
重庆轨道交通,轨道交通4号线,民安大道,2.181,45.785,106.529107,29.608917,900000055077034,,
重庆轨道交通,轨道交通5号线,悦港北路,0.0,0.0,106.569523,29.753464,900000088463038,,
重庆轨道交通,轨道交通5号线,悦港大道,0.96,0.96,106.569348,29.744829,900000088463037,,
重庆轨道交通,轨道交通5号线,椿萱大道,1.228,2.188,106.570826,29.733857,900000088463036,,
重庆轨道交通,轨道交通5号线,中央公园西,1.271,3.459,106.572398,29.722507,900000077387003,,
重庆轨道交通,轨道交通5号线,鲁家沟,1.253,4.712,106.571233,29.711283,900000088463034,,
重庆轨道交通,轨道交通5号线,甘悦大道,0.952,5.664,106.56907,29.702929,900000088463033,,
重庆轨道交通,轨道交通5号线,玉河沟,0.948,6.612,106.56927,29.694402,900000088463032,,
重庆轨道交通,轨道交通5号线,园博中心,2.29,8.902,106.560443,29.67529,900000088463031,,
重庆轨道交通,轨道交通5号线,丹鹤,1.327,10.229,106.550959,29.666655,900000088463030,,
重庆轨道交通,轨道交通5号线,湖霞街,1.419,11.648,106.538581,29.659787,900000088463029,,
重庆轨道交通,轨道交通5号线,重光,1.451,13.099,106.530077,29.649028,900000088463028,,
重庆轨道交通,轨道交通5号线,和睦路,2.176,15.275,106.533455,29.62968,900000088463027,,
重庆轨道交通,轨道交通5号线,人和,1.293,16.568,106.522248,29.623325,900000088463026,,
重庆轨道交通,轨道交通5号线,幸福广场,1.552,18.12,106.508201,29.61656,900000088463025,,
重庆轨道交通,轨道交通5号线,冉家坝,2.19,20.31,106.498821,29.598628,900000027933007,,
重庆轨道交通,轨道交通5号线,大龙山,1.016,21.326,106.498792,29.589491,900000027933006,,
重庆轨道交通,轨道交通5号线,大石坝,2.108,23.434,106.495224,29.570787,900000088463022,,
重庆轨道交通,轨道交通5号线,忠恕沱,0.865,24.299,106.494042,29.563079,900000088463020,,
重庆轨道交通,轨道交通5号线,红岩村,1.326,25.625,106.494552,29.551159,900000070621006,,
重庆轨道交通,轨道交通5号线,歇台子,1.448,27.073,106.499111,29.538754,500100022282016,,
重庆轨道交通,轨道交通5号线,石桥铺,1.528,28.601,106.484891,29.532771,500100022282015,,
重庆轨道交通,轨道交通5号线,石新路,1.064,29.665,106.477473,29.525708,900000088463011,,
重庆轨道交通,轨道交通5号线,巴山,0.927,30.592,106.469793,29.520731,900000088463010,,
重庆轨道交通,轨道交通5号线,凤西路,1.699,32.291,106.454189,29.51373,900000088463009,,
重庆轨道交通,轨道交通5号线,重庆西站,2.099,34.39,106.439014,29.500239,900000055077041,,
重庆轨道交通,轨道交通5号线,华岩寺,0.946,35.336,106.445598,29.493952,900000088463007,,
重庆轨道交通,轨道交通5号线,华成路,1.686,37.022,106.453531,29.480455,900000088463006,,
重庆轨道交通,轨道交通5号线,半山,0.705,37.727,106.450924,29.474539,900000088463005,,
重庆轨道交通,轨道交通5号线,中梁山,1.764,39.491,106.446081,29.45925,900000088463004,,
重庆轨道交通,轨道交通5号线,金建路,1.898,41.389,106.442085,29.442537,900000088463003,,
重庆轨道交通,轨道交通5号线,华岩中心,1.499,42.888,106.440422,29.429132,900000088463002,,
重庆轨道交通,轨道交通5号线,跳磴,2.339,45.227,106.437561,29.408248,900000088463001,,
重庆轨道交通,轨道交通6号线,茶园,0.0,0.0,106.642898,29.487559,900000027933021,,
重庆轨道交通,轨道交通6号线,邱家湾,1.322,1.322,106.64961,29.497915,900000027933022,,
重庆轨道交通,轨道交通6号线,长生桥,1.661,2.983,106.658049,29.510924,900000027933023,,
重庆轨道交通,轨道交通6号线,刘家坪,1.55,4.533,106.655733,29.524717,900000027933024,,
重庆轨道交通,轨道交通6号线,上新街,6.651,11.184,106.597196,29.556094,900000027933025,,
重庆轨道交通,轨道交通6号线,小什字,1.387,12.571,106.583593,29.560028,500100021567003,,
重庆轨道交通,轨道交通6号线,大剧院,1.242,13.813,106.576944,29.569584,900000027933027,,
重庆轨道交通,轨道交通6号线,江北城,0.839,14.652,106.572066,29.575825,900000027933028,,
重庆轨道交通,轨道交通6号线,五里店,1.234,15.886,106.565175,29.58517,900000027933001,,
重庆轨道交通,轨道交通6号线,红土地,1.36,17.246,106.551176,29.584019,900000027933002,,
重庆轨道交通,轨道交通6号线,黄泥塝,1.36,18.606,106.538072,29.588466,900000027933003,,
