系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
呼和浩特地铁,地铁1号线,伊利健康谷,西二环路,900000077532001,900000077532020,1.806,
呼和浩特地铁,地铁1号线,西二环路,孔家营,900000077532020,900000077532002,1.208,
呼和浩特地铁,地铁1号线,孔家营,呼钢南路,900000077532002,900000077532003,1.167,
呼和浩特地铁,地铁1号线,呼钢南路,西龙王庙,900000077532003,900000077532004,1.459,
呼和浩特地铁,地铁1号线,西龙王庙,乌兰夫纪念馆,900000077532004,900000077532005,0.928,
呼和浩特地铁,地铁1号线,乌兰夫纪念馆,附属医院,900000077532005,900000077532006,1.235,
呼和浩特地铁,地铁1号线,附属医院,新华广场,900000077532006,900000077532007,1.079,
呼和浩特地铁,地铁1号线,新华广场,人民会堂,900000077532007,900000077532008,0.741,
呼和浩特地铁,地铁1号线,人民会堂,将军衙署,900000077532008,900000077532019,1.111,
呼和浩特地铁,地铁1号线,将军衙署,艺术学院,900000077532019,900000077532009,0.958,
呼和浩特地铁,地铁1号线,艺术学院,东影路,900000077532009,900000077532010,0.805,
呼和浩特地铁,地铁1号线,东影路,内蒙古展览馆,900000077532010,900000077532011,1.019,
呼和浩特地铁,地铁1号线,内蒙古展览馆,内蒙古博物院,900000077532011,900000077532012,0.997,
呼和浩特地铁,地铁1号线,内蒙古博物院,市政府,900000077532012,900000077532013,1.349,
呼和浩特地铁,地铁1号线,市政府,呼和浩特东站,900000077532013,900000077532014,1.934,
呼和浩特地铁,地铁1号线,呼和浩特东站,后不塔气,900000077532014,900000077532015,1.161,
呼和浩特地铁,地铁1号线,后不塔气,什兰岱,900000077532015,900000077532016,1.678,
呼和浩特地铁,地铁1号线,什兰岱,白塔西,900000077532016,900000077532017,0.974,
呼和浩特地铁,地铁1号线,白塔西,坝堰(机场),900000077532017,900000077532018,1.126,
呼和浩特地铁,轨道交通2号线,塔利东路,新店,900000077536001,900000077536002,0.977,
呼和浩特地铁,轨道交通2号线,新店,百合路,900000077536002,900000077536003,0.652,
呼和浩特地铁,轨道交通2号线,百合路,北山公园,900000077536003,900000077536004,1.007,
呼和浩特地铁,轨道交通2号线,北山公园,丝绸之路大道,900000077536004,900000077536005,1.303,
呼和浩特地铁,轨道交通2号线,丝绸之路大道,一家村,900000077536005,900000077536006,1.165,
呼和浩特地铁,轨道交通2号线,一家村,成吉思汗公园,900000077536006,900000077536007,1.187,
呼和浩特地铁,轨道交通2号线,成吉思汗公园,毫沁营,900000077536007,900000077536008,1.207,
呼和浩特地铁,轨道交通2号线,毫沁营,成吉思汗广场,900000077536008,900000077536009,1.229,
呼和浩特地铁,轨道交通2号线,成吉思汗广场,内蒙古体育馆,900000077536009,900000077536010,1.028,
呼和浩特地铁,轨道交通2号线,内蒙古体育馆,呼和浩特体育场,900000077536010,900000077536011,0.93,
呼和浩特地铁,轨道交通2号线,呼和浩特体育场,公主府,900000077536011,900000077536012,1.72,
呼和浩特地铁,轨道交通2号线,公主府,呼和浩特站,900000077536012,900000077536013,0.803,
呼和浩特地铁,轨道交通2号线,呼和浩特站,新华广场,900000077536013,900000077532007,0.93,
呼和浩特地铁,轨道交通2号线,新华广场,中山路,900000077532007,900000077536014,0.666,
呼和浩特地铁,轨道交通2号线,中山路,大学西街,900000077536014,900000077536015,1.105,
呼和浩特地铁,轨道交通2号线,大学西街,诺和木勒,900000077536015,900000077536016,0.893,
呼和浩特地铁,轨道交通2号线,诺和木勒,水上公园,900000077536016,900000077536017,1.36,
呼和浩特地铁,轨道交通2号线,水上公园,五里营,900000077536017,900000077536018,1.044,
呼和浩特地铁,轨道交通2号线,五里营,锡林公园,900000077536018,900000077536019,0.756,
呼和浩特地铁,轨道交通2号线,锡林公园,内大南校区,900000077536019,900000077536020,1.371,
呼和浩特地铁,轨道交通2号线,内大南校区,帅家营,900000077536020,900000077536021,1.285,
呼和浩特地铁,轨道交通2号线,帅家营,喇嘛营,900000077536021,900000077536022,2.051,
呼和浩特地铁,轨道交通2号线,喇嘛营,阿尔山路,900000077536022,900000077536023,1.388,
